,index,Cell_ID,Sum_Nearest,Sum_overshooting,Sum_Blocked,Sum_Bad_Coverge,Sum_Loaded,Sum_cross_sector,Sum_back_lobe
275,275,GD76545,6,1,3,0,0,0,0
276,276,GD76546,11,18,4,0,1,0,0
277,277,GD76547,18,0,0,0,0,0,0
278,278,GD7654B,22,66,0,0,0,0,0
279,279,GD77451,107,0,3,0,4,0,0
280,280,GD77452,0,0,11,0,0,0,0
281,281,GD77453,2,0,0,0,0,0,0
282,282,GD77455,5,1,27,0,12,0,0
283,283,GD77456,26,0,0,0,0,0,0
284,284,GD77457,48,0,0,0,0,0,0
285,285,GD7745A,224,0,51,0,9,0,0
286,286,GD7745B,76,1,15,0,3,0,0
287,287,GD7745C,22,0,0,0,0,0,0
288,288,GD77462,2,0,25,0,0,0,0
289,289,GD77463,24,0,4,0,1,0,0
290,290,GD77467,38,0,0,0,0,0,0
291,291,GD7746C,28,0,0,0,0,0,0
292,292,GD78904,0,8,0,0,0,0,0
293,293,GD78908,0,122,0,0,0,0,0
294,294,M40032,0,0,34,0,0,0,0
295,295,M40033,61,1,2,0,0,0,0
296,296,M41981,26,0,8,0,0,0,0
297,297,M41982,3,0,0,0,0,0,0
298,298,M41983,239,0,0,0,0,0,0
299,299,M46021,39,0,7,0,0,0,0
300,300,M46022,23,0,83,0,0,0,0
301,301,M46023,3,0,106,0,0,0,0
302,302,M46891,0,0,38,0,1,0,0
303,303,M46892,19,0,0,0,0,0,0
304,304,M46893,15,0,73,0,0,0,0
305,305,M47381,130,30,0,0,0,0,0
306,306,M47382,35,0,0,0,0,0,0
307,307,M47383,13,0,0,0,0,0,0
308,308,M47391,0,0,7,0,0,0,0
309,309,M47392,31,0,1,0,0,0,0
310,310,M47393,132,0,0,0,1,0,0
311,311,M49322,24,0,0,0,0,0,0
312,312,M49323,14,0,4,0,1,0,0
313,313,M49471,74,0,0,0,0,0,0
314,314,M49472,71,0,0,0,0,0,0
315,315,M49473,0,2,0,0,0,0,0
316,316,M49476,16,0,3,0,0,0,0
317,317,M55561,55,0,52,0,2,0,0
318,318,M55562,76,0,12,0,4,0,0
319,319,M55563,143,0,12,0,1,0,0
320,320,M56691,184,6,0,0,0,0,0
321,321,M56692,130,0,25,0,3,0,0
322,322,M56693,187,0,85,0,3,0,0
323,323,M56697,0,0,21,0,0,0,0
324,324,M59591,11,2,18,0,0,0,0
325,325,M59592,178,0,14,0,0,0,0
326,326,M59595,0,9,0,0,0,0,0
327,327,M59601,3,0,0,0,0,0,0
328,328,M59603,0,0,30,0,0,0,0
329,329,M59612,0,1,0,0,0,0,0
330,330,M63191,91,0,0,0,0,0,0
331,331,M63192,313,0,0,0,0,0,0
332,332,M63193,92,0,0,0,0,0,0
333,333,M63201,155,0,33,0,10,0,0
334,334,M63203,46,0,20,0,1,0,0
335,335,M63231,68,0,26,0,0,0,0
336,336,M63232,4,0,37,0,3,0,0
337,337,M63233,84,0,39,0,1,0,0
338,338,M63261,29,0,0,0,0,0,0
339,339,M63263,1,0,5,0,0,0,0
340,340,M63271,5,0,0,0,0,0,0
341,341,M63272,23,0,0,0,0,0,0
342,342,M63273,0,0,1,0,0,0,0
343,343,MD20141,67,0,0,0,0,0,0
344,344,MD20142,172,0,0,0,0,0,0
345,345,MD20143,93,45,20,0,7,0,0
346,346,MD20147,79,0,0,0,0,0,0
347,347,MD31371,23,1,0,0,0,0,0
348,348,MD31373,66,0,0,0,0,0,0
349,349,MD32251,8,1,0,0,0,0,0
350,350,MD32252,63,5,0,0,0,0,0
351,351,MD32253,99,0,3,0,0,0,0
352,352,MD34121,1,0,0,0,0,0,0
353,353,MD34122,1,0,0,0,0,0,0
354,354,MD34123,62,2,0,0,0,0,0
355,355,MD34125,29,0,0,0,0,0,0
356,356,MD68541,0,0,2,0,0,0,0
357,357,MD68542,0,0,14,0,0,0,0
358,358,MD68551,3,0,0,0,0,0,0
359,359,MD68553,31,0,0,0,0,0,0
360,360,MD70821,250,0,24,0,16,0,0
361,361,MD70822,80,0,0,0,0,0,0
362,362,MD70823,12,0,1,0,0,0,0
363,363,MD73582,76,0,0,0,0,0,0
364,364,MD75991,91,0,25,0,11,0,0
365,365,MD75992,92,0,0,0,0,0,0
366,366,MD75993,15,0,1,0,0,0,0
367,367,MD76351,109,0,27,0,5,0,0
368,368,MD76352,8,0,0,0,0,0,0
369,369,MD76533,0,0,5,0,0,0,0
370,370,MD76541,15,0,0,0,0,0,0
371,371,MD76542,4,0,3,0,1,0,0
372,372,MD76543,33,0,0,0,0,0,0
373,373,MD77451,14,0,69,0,15,0,0
374,374,MD77455,57,0,34,0,6,0,0
375,375,MD77462,0,0,7,0,0,0,0
376,376,MD77463,23,0,0,0,0,0,0
