,Lat_drive,Lon_drive,Lat_Cell,Lon_Cell,Ant_Dirction,Cell,States
23317,30.574554,31.483156,30.58304167,31.4822,5.0,G59601,Nearest
23318,30.574616,31.483134999999997,30.58304167,31.4822,5.0,G59601,Nearest
23319,30.574677,31.483114,30.58304167,31.4822,5.0,G59601,Nearest
23320,30.574744,31.483093,30.58304167,31.4822,5.0,G59601,Nearest
23321,30.574790000000004,31.483075,30.58304167,31.4822,5.0,G59601,Nearest
23322,30.574825,31.483062,30.58304167,31.4822,5.0,G59601,Nearest
23323,30.574851000000002,31.483062,30.58304167,31.4822,5.0,G59601,Nearest
23324,30.574879,31.483059,30.58304167,31.4822,5.0,G59601,Nearest
23325,30.5749,31.483051,30.58304167,31.4822,5.0,G59601,Nearest
23326,30.574917,31.483040000000003,30.58304167,31.4822,5.0,G59601,Nearest
23327,30.574931,31.48302,30.58304167,31.4822,5.0,G59601,Nearest
23328,30.574949,31.483010999999998,30.58304167,31.4822,5.0,G59601,Nearest
23329,30.574973999999997,31.483,30.58304167,31.4822,5.0,G59601,Nearest
23330,30.575004999999997,31.482989,30.58304167,31.4822,5.0,G59601,Nearest
23331,30.575055,31.482988,30.58304167,31.4822,5.0,G59601,Nearest
23332,30.575105999999998,31.482984000000002,30.58304167,31.4822,5.0,G59601,Nearest
23333,30.575158000000002,31.482976,30.58304167,31.4822,5.0,G59601,Nearest
23334,30.575208,31.482974,30.58304167,31.4822,5.0,G59601,Nearest
23335,30.575257,31.482969,30.58304167,31.4822,5.0,G59601,Nearest
23336,30.575287,31.48296,30.58304167,31.4822,5.0,G59601,Nearest
23337,30.57532,31.482952,30.58304167,31.4822,5.0,G59601,Nearest
23338,30.575362,31.482946000000002,30.58304167,31.4822,5.0,G59601,Nearest
23339,30.575393,31.482947999999997,30.58304167,31.4822,5.0,G59601,Nearest
23340,30.575425,31.482957,30.58304167,31.4822,5.0,G59601,Nearest
23341,30.575447999999998,31.482959,30.58304167,31.4822,5.0,G59601,Nearest
23342,30.575477000000003,31.482956,30.58304167,31.4822,5.0,G59601,Nearest
23343,30.575509999999998,31.482951,30.58304167,31.4822,5.0,G59601,Nearest
23344,30.575543,31.482946000000002,30.58304167,31.4822,5.0,G59601,Nearest
23345,30.57558,31.482943,30.58304167,31.4822,5.0,G59601,Nearest
23346,30.575611,31.482940999999997,30.58304167,31.4822,5.0,G59601,Nearest
23347,30.575640000000003,31.482943,30.58304167,31.4822,5.0,G59601,Nearest
23348,30.575671000000003,31.482945,30.58304167,31.4822,5.0,G59601,Nearest
23349,30.5757,31.482951,30.58304167,31.4822,5.0,G59601,Nearest
23350,30.575729,31.482963,30.58304167,31.4822,5.0,G59601,Nearest
23351,30.575757,31.482978999999997,30.58304167,31.4822,5.0,G59601,Nearest
23352,30.575779999999998,31.482996999999997,30.58304167,31.4822,5.0,G59601,Nearest
23353,30.575805,31.483029,30.58304167,31.4822,5.0,G59601,Nearest
23354,30.575828,31.483071999999996,30.58304167,31.4822,5.0,G59601,Nearest
23355,30.575845,31.483137,30.58304167,31.4822,5.0,G59601,Nearest
23356,30.575852,31.483190999999998,30.58304167,31.4822,5.0,G59601,Nearest
23357,30.575874,31.483264000000002,30.58304167,31.4822,5.0,G59601,Nearest
23358,30.575884999999996,31.483287,30.58304167,31.4822,5.0,G59601,Nearest
23359,30.575892,31.483309000000002,30.58304167,31.4822,5.0,G59601,Nearest
23360,30.575903999999998,31.483346,30.58304167,31.4822,5.0,G59601,Nearest
23361,30.575922,31.483386,30.49194444,31.57163889,180.0,GD39303,serving cell is overshooting
23362,30.575944,31.483432,30.58304167,31.4822,5.0,G59601,Nearest
23363,30.575971000000003,31.483481,30.58304167,31.4822,5.0,G59601,Nearest
23364,30.575998,31.483528000000003,30.58304167,31.4822,5.0,G59601,Nearest
23365,30.57602,31.48357,30.58304167,31.4822,5.0,G59601,Nearest
23366,30.576046,31.483625,30.49194444,31.57163889,180.0,GD39303,serving cell is overshooting
23367,30.576068,31.483684000000004,30.49194444,31.57163889,180.0,GD39303,serving cell is overshooting
23368,30.576108,31.483756,30.49194444,31.57163889,180.0,GD39303,serving cell is overshooting
23369,30.576144,31.483842,30.49194444,31.57163889,180.0,GD39303,serving cell is overshooting
23370,30.57617,31.483921000000002,30.49194444,31.57163889,180.0,GD39303,serving cell is overshooting
23371,30.576210999999997,31.484013,30.49194444,31.57163889,180.0,GD39303,serving cell is overshooting
23372,30.576253,31.4841,30.49194444,31.57163889,180.0,GD39303,serving cell is overshooting
