,index,Cell_ID,Lat_Cell,Lon_Cell,Ant_Dirction,Sum_Nearest,Sum_overshooting,Sum_Blocked,Sum_Bad_Coverge,Sum_Loaded,Sum_cross_sector,Sum_back_lobe,SUM_col,Nearest_per,overshooting_per,Blocked_per,Bad_Coverge_per,Loaded_per,cross_sector_per,back_lobe_per
141,141,G6320A,30.58178612,31.51331001,30.0,94,0,0,0,0,0,0,94,100.0,0.0,0.0,0.0,0.0,0.0,0.0
142,142,G6320C,30.58178612,31.51331001,270.0,31,0,52,1,1,0,0,85,36.47,0.0,61.18,1.18,1.18,0.0,0.0
143,143,G63211,30.56136111,31.51902778,10.0,0,3,0,0,0,0,0,3,0.0,100.0,0.0,0.0,0.0,0.0,0.0
144,144,G63215,30.56136111,31.51902778,10.0,1,0,0,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0
145,145,G63216,30.56136111,31.51902778,90.0,61,0,0,0,0,0,0,61,100.0,0.0,0.0,0.0,0.0,0.0,0.0
146,146,G63217,30.56136111,31.51902778,180.0,74,0,5,0,0,0,0,79,93.67,0.0,6.33,0.0,0.0,0.0,0.0
147,147,G63232,30.58263889,31.50594444,150.0,9,0,11,0,0,0,0,20,45.0,0.0,55.0,0.0,0.0,0.0,0.0
148,148,G63233,30.58263889,31.50594444,270.0,5,0,4,0,0,0,0,9,55.56,0.0,44.44,0.0,0.0,0.0,0.0
149,149,G63235,30.58263889,31.50594444,50.0,107,0,4,0,3,0,0,114,93.86,0.0,3.51,0.0,2.63,0.0,0.0
150,150,G63236,30.58263889,31.50594444,150.0,72,0,22,0,0,0,0,94,76.6,0.0,23.4,0.0,0.0,0.0,0.0
151,151,G6323A,30.58263889,31.50594444,50.0,23,0,0,0,0,0,0,23,100.0,0.0,0.0,0.0,0.0,0.0,0.0
152,152,G6323C,30.58263889,31.50594444,270.0,0,0,52,0,0,0,0,52,0.0,0.0,100.0,0.0,0.0,0.0,0.0
153,153,G63247,30.54991667,31.52563889,300.0,14,0,0,0,0,0,0,14,100.0,0.0,0.0,0.0,0.0,0.0,0.0
